# N=10 REP=500 dy=0.001
# BRG
# esConnex p
0.430469 0.946
0.43125 0.936
0.432031 0.942
0.432813 0.942
0.433594 0.948
0.434375 0.938
0.435156 0.93
0.435937 0.928
0.436719 0.956
0.4375 0.932
0.438281 0.958
0.439063 0.958
0.439844 0.956
0.440625 0.95
0.441406 0.936
0.442187 0.944
0.442969 0.946
0.44375 0.938
0.444531 0.95
0.445312 0.948
0.446094 0.956
0.446875 0.954
0.447656 0.962
0.448438 0.95
0.449219 0.956
0.45 0.948
0.450781 0.95
0.451562 0.956
0.452344 0.94
0.453125 0.962
0.453906 0.98
0.454688 0.95
0.455469 0.96
0.45625 0.964
0.457031 0.962
0.457813 0.958
0.458594 0.964
0.459375 0.972
0.4625 0.972
0.463281 0.958
0.464063 0.964
0.464844 0.964
0.465625 0.962
0.466406 0.96
0.467187 0.972
0.467969 0.966
0.46875 0.978
0.469531 0.964
0.470313 0.982
0.471094 0.972
0.471875 0.966
0.472656 0.964
0.473437 0.968
0.474219 0.962
0.475 0.97
0.475781 0.972
0.476562 0.974
0.478125 0.974
0.479687 0.974
0.480469 0.982
0.48125 0.978
0.4875 0.978
0.490625 0.978
0.491406 0.96
0.492188 0.988
0.49375 0.988
0.494531 0.986
0.495313 0.982
0.496875 0.982
0.497656 0.986
0.498437 0.98
0.5 0.98
0.500781 0.99
0.501563 0.99
0.502344 0.986
0.503125 0.978
0.503906 0.984
0.504687 0.982
0.505469 0.988
0.50625 0.986
0.507031 0.986
0.507812 0.982
0.508594 0.984
0.509375 0.988
0.510156 0.992
0.510937 0.986
0.511719 0.98
0.5125 0.974
0.513281 0.982
0.514062 0.982
0.514844 0.988
0.515625 0.986
0.516406 0.992
0.517188 0.98
0.517969 0.99
0.51875 0.984
0.521875 0.984
0.522656 0.994
0.523438 0.982
0.524219 0.984
0.525 0.986
0.5375 0.986
0.538281 0.992
0.539063 0.99
0.539844 0.988
0.540625 0.992
0.541406 0.982
0.542188 0.982
0.542969 0.988
0.54375 0.994
0.544531 0.992
0.545313 0.992
0.546094 0.996
0.546875 0.996
0.548438 0.996
0.549219 0.996
0.55 0.992
0.553125 0.992
0.553906 0.994
0.554688 0.998
0.555469 0.998
0.55625 0.996
0.559375 0.996
0.560156 0.994
0.560937 0.988
0.561719 0.994
0.5625 0.998
0.563281 0.998
0.564063 0.996
0.564844 0.996
0.565625 0.994
0.56875 0.994
0.575 0.994
0.58125 0.994
0.582031 0.998
0.582812 1
0.584375 1
0.585156 0.996
0.585937 0.994
0.586719 1
0.5875 0.992
0.588281 0.99
0.589062 1
0.589844 1
0.590625 0.998
0.591406 0.992
0.592187 0.996
0.592969 0.996
0.59375 1
0.596875 1
0.598437 1
0.599219 0.998
0.6 0.998
0.65 0.998
0.675 0.998
0.675781 1
0.676562 1
0.678125 1
0.68125 1
0.6875 1
0.7 1
0.8 1
0.9 1
1 1
